Name,Level,IconSWF,IconExportName,TID,InfoTID,Deprecated,AllowedCharacters,Rarity,Claimable,DiamondValue,RequiredBlacksmithLevel,RequiredCharacterLevel,UpgradeResources,UpgradeCosts,MainAbilities,MainAbilityLevels,ExtraAbilities,ExtraAbilityLevels,Speed,HitPoints,AttackRange,AttackSpeedPercentage,DPS,PreviewScenario,HealOnActivation,StrengthWeight
,15,,,,,,,,,,6,,,,,6,,,,716,,,,,2116,1900
,16,,,,,,,,,,7,,,,,6,,,,784,,,,,2317,2000
,17,,,,,,,,,,7,,,,,6,,,,852,,,,,2519,2100
,18,,,,,,,,,,7,,,,,7,,,,920,,,,,2720,2600
UNUSED15,1,sc/ui.sc,icon_unit_b,TID_GEAR_TITLE_BARBARIAN_CROWN,TID_GEAR_INFO_BARBARIAN_CROWN,TRUE,Barbarian King;,Common,,,1,1,CommonOre,120,THBounceFootball,1,,,,,,,,,,
UNUSED16,1,sc/ui.sc,icon_unit_c,TID_GEAR_TITLE_BARBARIAN_CROWN,TID_GEAR_INFO_BARBARIAN_CROWN,TRUE,Barbarian King;,Common,,,1,1,CommonOre,120,THPierceFootball,1,,,,,,,,,,
UNUSED17,1,sc/ui.sc,icon_unit_pet_phoenix,TID_GEAR_TITLE_BARBARIAN_CROWN,TID_GEAR_INFO_BARBARIAN_CROWN,TRUE,Grand Warden;,Epic,TRUE,,1,1,CommonOre,120,,1,,,,150,,,24,,,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,160,,,28,,,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,170,,,32,,,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,180,,,36,,,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,190,,,40,,,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,200,,,44,,,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,210,,,48,,,700
,8,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,1800;200;10,,3,,,,220,,,52,,,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,230,,,56,,,900
,10,,,,,,,,,,1,,CommonOre,2000,,4,,,,240,,,60,,,1000
,11,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,2100;400;20,,4,,,,250,,,64,,,1100
,12,,,,,,,,,,1,,CommonOre,2200,,5,,,,260,,,68,,,1200
,13,,,,,,,,,,3,,CommonOre,2300,,5,,,,270,,,72,,,1300
,14,,,,,,,,,,3,,CommonOre; RareOre; EpicOre,2400;600;30,,5,,,,280,,,76,,,1400
,15,,,,,,,,,,3,,CommonOre,2500,,6,,,,290,,,80,,,1900
,16,,,,,,,,,,5,,CommonOre,2600,,6,,,,300,,,84,,,2000
,17,,,,,,,,,,5,,CommonOre; RareOre; EpicOre,2700;600;50,,6,,,,310,,,88,,,2100
,18,,,,,,,,,,5,,CommonOre,2800,,7,,,,320,,,92,,,2600
,19,,,,,,,,,,7,,CommonOre,2900,,7,,,,330,,,96,,,2700
,20,,,,,,,,,,7,,CommonOre; RareOre; EpicOre,3000;600;100,,7,,,,340,,,100,,,2800
,21,,,,,,,,,,7,,CommonOre,3100,,8,,,,350,,,104,,,3300
,22,,,,,,,,,,8,,CommonOre,3200,,8,,,,360,,,108,,,3400
,23,,,,,,,,,,8,,CommonOre; RareOre; EpicOre,3300;600;120,,8,,,,370,,,112,,,3500
,24,,,,,,,,,,8,,CommonOre,3400,,9,,,,380,,,116,,,4000
,25,,,,,,,,,,9,,CommonOre,3500,,9,,,,390,,,120,,,4100
,26,,,,,,,,,,9,,CommonOre; RareOre; EpicOre,3600;600;150,,9,,,,400,,,124,,,4200
,27,,,,,,,,,,9,,,,,10,,,,410,,,128,,,4700
Magic Mirror,1,sc/ui.sc,icon_gear_AQ_Mirror,TID_GEAR_TITLE_CLONING_CLOAK,TID_GEAR_INFO_CLONING_CLOAK,,Archer Queen;,Epic,TRUE,,1,1,CommonOre,120,AQCloningCloak,1,,,,88,,,,GearCloningCloack,198,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,96,,,,,229,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,113,,,,,250,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,131,,,,,271,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,157,,,,,294,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,184,,,,,317,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,228,,,,,344,700
,8,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,1800;200;10,,3,,,,272,,,,,372,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,307,,,,,397,900
,10,,,,,,,,,,1,,CommonOre,2000,,4,,,,342,,,,,423,1000
,11,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,2100;400;20,,4,,,,377,,,,,448,1100
,12,,,,,,,,,,1,,CommonOre,2200,,5,,,,412,,,,,474,1200
,13,,,,,,,,,,3,,CommonOre,2300,,5,,,,448,,,,,498,1300
,14,,,,,,,,,,3,,CommonOre; RareOre; EpicOre,2400;600;30,,5,,,,483,,,,,529,1400
,15,,,,,,,,,,3,,CommonOre,2500,,6,,,,518,,,,,560,1900
,16,,,,,,,,,,5,,CommonOre,2600,,6,,,,553,,,,,591,2000
,17,,,,,,,,,,5,,CommonOre; RareOre; EpicOre,2700;600;50,,6,,,,588,,,,,622,2100
,18,,,,,,,,,,5,,CommonOre,2800,,7,,,,624,,,,,652,2600
,19,,,,,,,,,,7,,CommonOre,2900,,7,,,,650,,,,,679,2700
,20,,,,,,,,,,7,,CommonOre; RareOre; EpicOre,3000;600;100,,7,,,,676,,,,,706,2800
,21,,,,,,,,,,7,,CommonOre,3100,,8,,,,703,,,,,732,3300
,22,,,,,,,,,,8,,CommonOre,3200,,8,,,,729,,,,,759,3400
,23,,,,,,,,,,8,,CommonOre; RareOre; EpicOre,3300;600;120,,8,,,,756,,,,,784,3500
,24,,,,,,,,,,8,,CommonOre,3400,,9,,,,782,,,,,811,4000
,25,,,,,,,,,,9,,CommonOre,3500,,9,,,,808,,,,,838,4100
,26,,,,,,,,,,9,,CommonOre; RareOre; EpicOre,3600;600;150,,9,,,,835,,,,,864,4200
,27,,,,,,,,,,9,,,,,10,,,,861,,,,,891,4700
Electro Boots,1,sc/ui.sc,icon_gear_RC_ElectroBoots,TID_GEAR_ELECTRO_SHIELD,TID_GEAR_INFO_ELECTRO_SHIELD,,Warrior Princess;,Epic,TRUE,,1,1,CommonOre,120,RCDamageAura,1,RCElectroRegeneration,1,,50,,,,GearElectrifiedShield,,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,2,,75,,,,,,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,3,,100,,,,,,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,4,,125,,,,,,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,5,,150,,,,,,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,6,,175,,,,,,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,7,,200,,,,,,700
,8,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,1800;200;10,,3,,8,,225,,,,,,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,9,,250,,,,,,900
,10,,,,,,,,,,1,,CommonOre,2000,,4,,10,,275,,,,,,1000
,11,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,2100;400;20,,4,,11,,300,,,,,,1100
,12,,,,,,,,,,1,,CommonOre,2200,,5,,12,,325,,,,,,1200
,13,,,,,,,,,,3,,CommonOre,2300,,5,,13,,350,,,,,,1300
,14,,,,,,,,,,3,,CommonOre; RareOre; EpicOre,2400;600;30,,5,,14,,375,,,,,,1400
,15,,,,,,,,,,3,,CommonOre,2500,,6,,15,,400,,,,,,1900
,16,,,,,,,,,,5,,CommonOre,2600,,6,,16,,425,,,,,,2000
,17,,,,,,,,,,5,,CommonOre; RareOre; EpicOre,2700;600;50,,6,,17,,450,,,,,,2100
,18,,,,,,,,,,5,,CommonOre,2800,,7,,18,,475,,,,,,2600
,19,,,,,,,,,,7,,CommonOre,2900,,7,,19,,500,,,,,,2700
,20,,,,,,,,,,7,,CommonOre; RareOre; EpicOre,3000;600;100,,7,,20,,525,,,,,,2800
,21,,,,,,,,,,7,,CommonOre,3100,,8,,21,,550,,,,,,3300
,22,,,,,,,,,,8,,CommonOre,3200,,8,,22,,575,,,,,,3400
,23,,,,,,,,,,8,,CommonOre; RareOre; EpicOre,3300;600;120,,8,,23,,600,,,,,,3500
,24,,,,,,,,,,8,,CommonOre,3400,,9,,24,,625,,,,,,4000
,25,,,,,,,,,,9,,CommonOre,3500,,9,,25,,650,,,,,,4100
,26,,,,,,,,,,9,,CommonOre; RareOre; EpicOre,3600;600;150,,9,,26,,675,,,,,,4200
,27,,,,,,,,,,9,,,,,10,,27,,700,,,,,,4700
GW Lavaloon Puppet,1,sc/ui.sc,icon_gear_GW_LavaloonPuppet,TID_GEAR_LAVALOON_PUPPET,TID_GEAR_INFO_LAVALOON_PUPPET,,Grand Warden;,Epic,TRUE,,1,1,CommonOre,120,GrandWardenSummonLavaloon,1,,,,50,,,10,GearLavaloonPuppet,,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,2,,,,55,,,12,,,200
,3,,,,,,,,,,1,,CommonOre,400,,3,,,,57,,,13,,,300
,4,,,,,,,,,,1,,CommonOre,600,,4,,,,60,,,15,,,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,5,,,,65,,,16,,,500
,6,,,,,,,,,,1,,CommonOre,1120,,6,,,,67,,,18,,,600
,7,,,,,,,,,,1,,CommonOre,1440,,7,,,,70,,,20,,,700
,8,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,1800;200;10,,8,,,,75,,,22,,,800
,9,,,,,,,,,,1,,CommonOre,1900,,9,,,,77,,,23,,,900
,10,,,,,,,,,,1,,CommonOre,2000,,10,,,,80,,,25,,,1000
,11,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,2100;400;20,,11,,,,85,,,28,,,1100
,12,,,,,,,,,,1,,CommonOre,2200,,12,,,,87,,,30,,,1200
,13,,,,,,,,,,3,,CommonOre,2300,,13,,,,90,,,31,,,1300
,14,,,,,,,,,,3,,CommonOre; RareOre; EpicOre,2400;600;30,,14,,,,95,,,33,,,1400
,15,,,,,,,,,,3,,CommonOre,2500,,15,,,,97,,,35,,,1900
,16,,,,,,,,,,5,,CommonOre,2600,,16,,,,100,,,37,,,2000
,17,,,,,,,,,,5,,CommonOre; RareOre; EpicOre,2700;600;50,,17,,,,105,,,38,,,2100
,18,,,,,,,,,,5,,CommonOre,2800,,18,,,,107,,,40,,,2600
,19,,,,,,,,,,7,,CommonOre,2900,,19,,,,110,,,41,,,2700
,20,,,,,,,,,,7,,CommonOre; RareOre; EpicOre,3000;600;100,,20,,,,115,,,42,,,2800
,21,,,,,,,,,,7,,CommonOre,3100,,21,,,,117,,,43,,,3300
,22,,,,,,,,,,8,,CommonOre,3200,,22,,,,120,,,45,,,3400
,23,,,,,,,,,,8,,CommonOre; RareOre; EpicOre,3300;600;120,,23,,,,125,,,46,,,3500
,24,,,,,,,,,,8,,CommonOre,3400,,24,,,,127,,,47,,,4000
,25,,,,,,,,,,9,,CommonOre,3500,,25,,,,130,,,48,,,4100
,26,,,,,,,,,,9,,CommonOre; RareOre; EpicOre,3600;600;150,,26,,,,135,,,49,,,4200
,27,,,,,,,,,,9,,,,,27,,,,150,,,50,,,4700
MP Minion Bros,1,sc/ui.sc,icon_gear_MP_BouncerKeychain,TID_GEAR_TITLE_MINION_BODYGUARDS,TID_GEAR_INFO_MINION_BODYGUARDS,,Minion Hero;,Common,,,1,1,CommonOre,120,MinionSummonAbility,1,,,,,,,33,GearMPHenchmen,176,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,,,,38,,193,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,,,,46,,209,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,,,,51,,226,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,,,,56,,242,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,,,,64,,259,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,,,,71,,275,700
,8,,,,,,,,,,1,,CommonOre; RareOre,1800;200,,3,,,,,,,78,,292,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,,,,92,,308,900
,10,,,,,,,,,,3,,CommonOre,2000,,4,,,,,,,103,,325,1000
,11,,,,,,,,,,3,,CommonOre; RareOre,2100;400,,4,,,,,,,114,,341,1100
,12,,,,,,,,,,3,,CommonOre,2200,,5,,,,,,,131,,358,1200
,13,,,,,,,,,,5,,CommonOre,2300,,5,,,,,,,140,,388,1300
,14,,,,,,,,,,5,,CommonOre; RareOre,2400;600,,5,,,,,,,149,,418,1400
,15,,,,,,,,,,5,,CommonOre,2500,,6,,,,,,,162,,448,1900
,16,,,,,,,,,,7,,CommonOre,2600,,6,,,,,,,169,,478,2000
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,,,,,,176,,508,2100
,18,,,,,,,,,,7,,,,,7,,,,,,,188,,538,2600
MP Dark Orb,1,sc/ui.sc,icon_gear_MP_DarkOrb,TID_GEAR_TITLE_DARK_ORB,TID_GEAR_INFO_DARK_ORB,,Minion Hero;,Common,,,1,1,CommonOre,120,MinionAttackAbility,1,,,,88,,,10,GearMPDarkOrb,,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,103,,,13,,,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,117,,,18,,,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,131,,,21,,,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,147,,,24,,,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,161,,,29,,,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,175,,,32,,,700
,8,,,,,,,,,,1,,CommonOre; RareOre,1800;200,,3,,,,190,,,35,,,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,219,,,40,,,900
,10,,,,,,,,,,3,,CommonOre,2000,,4,,,,266,,,43,,,1000
,11,,,,,,,,,,3,,CommonOre; RareOre,2100;400,,4,,,,313,,,46,,,1100
,12,,,,,,,,,,3,,CommonOre,2200,,5,,,,359,,,51,,,1200
,13,,,,,,,,,,5,,CommonOre,2300,,5,,,,406,,,54,,,1300
,14,,,,,,,,,,5,,CommonOre; RareOre,2400;600,,5,,,,453,,,57,,,1400
,15,,,,,,,,,,5,,CommonOre,2500,,6,,,,500,,,62,,,1900
,16,,,,,,,,,,7,,CommonOre,2600,,6,,,,546,,,65,,,2000
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,,,593,,,68,,,2100
,18,,,,,,,,,,7,,,,,7,,,,640,,,73,,,2600
MP Stone Skin,1,sc/ui.sc,icon_gear_MP_MetalPants,TID_GEAR_TITLE_STONE_AMULET,TID_GEAR_INFO_STONE_AMULET,,Minion Hero;,Common,,,3,1,CommonOre,120,MinionPrinceStoneSkinAbility,1,,,,350,,,,GearMPMetalPants,1600,100
,2,,,,,,,,,,3,,CommonOre; RareOre,240;20,,1,,,,400,,,,,1675,200
,3,,,,,,,,,,3,,CommonOre,400,,2,,,,450,,,,,1750,300
,4,,,,,,,,,,3,,CommonOre,600,,2,,,,500,,,,,1800,400
,5,,,,,,,,,,3,,CommonOre; RareOre,840;100,,2,,,,550,,,,,1850,500
,6,,,,,,,,,,3,,CommonOre,1120,,3,,,,600,,,,,1900,600
,7,,,,,,,,,,3,,CommonOre,1440,,3,,,,650,,,,,1950,700
,8,,,,,,,,,,3,,CommonOre; RareOre,1800;200,,3,,,,700,,,,,2000,800
,9,,,,,,,,,,3,,CommonOre,1900,,4,,,,750,,,,,2050,900
,10,,,,,,,,,,3,,CommonOre,2000,,4,,,,800,,,,,2100,1000
,11,,,,,,,,,,3,,CommonOre; RareOre,2100;400,,4,,,,850,,,,,2150,1100
,12,,,,,,,,,,3,,CommonOre,2200,,5,,,,900,,,,,2200,1200
,13,,,,,,,,,,5,,CommonOre,2300,,5,,,,950,,,,,2250,1300
,14,,,,,,,,,,5,,CommonOre; RareOre,2400;600,,5,,,,1000,,,,,2300,1400
,15,,,,,,,,,,5,,CommonOre,2500,,6,,,,1050,,,,,2350,1900
,16,,,,,,,,,,7,,CommonOre,2600,,6,,,,1100,,,,,2400,2000
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,,,1150,,,,,2450,2100
,18,,,,,,,,,,7,,,,,7,,,,1200,,,,,2500,2600
MP Trap Shield,1,sc/ui.sc,icon_unit_pet_electrowl,TID_GEAR_TITLE_TRAP_SHIELD,TID_GEAR_INFO_TRAP_SHIELD,TRUE,Minion Hero;,Common,,,1,1,CommonOre,120,MinionPrinceTrapShieldAbility,1,,,,150,,,24,,,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,200,,,30,,,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,250,,,40,,,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,300,,,46,,,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,350,,,52,,,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,400,,,62,,,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,450,,,68,,,700
,8,,,,,,,,,,1,,CommonOre; RareOre,1800;200,,3,,,,500,,,74,,,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,550,,,84,,,900
,10,,,,,,,,,,3,,CommonOre,2000,,4,,,,600,,,90,,,1000
,11,,,,,,,,,,3,,CommonOre; RareOre,2100;400,,4,,,,650,,,96,,,1100
,12,,,,,,,,,,3,,CommonOre,2200,,5,,,,700,,,106,,,1200
,13,,,,,,,,,,5,,CommonOre,2300,,5,,,,750,,,112,,,1300
,14,,,,,,,,,,5,,CommonOre; RareOre,2400;600,,5,,,,800,,,118,,,1400
,15,,,,,,,,,,5,,CommonOre,2500,,6,,,,850,,,128,,,1900
,16,,,,,,,,,,7,,CommonOre,2600,,6,,,,900,,,134,,,2000
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,,,950,,,140,,,2100
,18,,,,,,,,,,7,,,,,7,,,,1000,,,150,,,2600
